2025-10-16 23:31:32 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:32 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:32 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:32 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:32 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:32 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:32 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:32 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:32 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:32 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:32 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:32 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:32 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:32 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:32 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:32 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:32 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:32 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:32 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:32 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:32 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:32 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:32 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:32 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:32 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:32 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:32 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:32 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:32 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:32 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:32 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:32 | UDP | Випадкова втрата пакету | Час=0.000000 сек
2025-10-16 23:31:34 | UDP | Випадкова втрата пакету | Час=0.000000 сек
2025-10-16 23:31:36 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:36 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:36 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:36 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:36 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:36 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:36 | UDP | Відповідь відправлена | Час=0.001033 сек
2025-10-16 23:31:36 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:36 | UDP | Випадкова втрата пакету | Час=0.000000 сек
2025-10-16 23:31:38 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:38 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:38 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:38 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:38 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:38 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:38 | UDP | Випадкова втрата пакету | Час=0.000000 сек
2025-10-16 23:31:40 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:40 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:40 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:40 | UDP | Відповідь відправлена | Час=0.000000 сек
